symbol,company,sector,headquarters,fecha_fundada
AME,Ametek,Industriales,"Berwyn, Pennsylvania",1930
AMGN,Amgen,Cuidado de Salud,"Thousand Oaks, California",1980
APH,Amphenol,Tecnología Informática,"Wallingford, Connecticut",1932
ADI,Analog Devices,Tecnología Informática,"Wilmington, Massachusetts",1965
ANSS,Ansys,Tecnología Informática,"Canonsburg, Pennsylvania",1969
AON,Aon,Finanzas,"London, UK",1982 (1919)
APA,APA Corporation,Energía,"Houston, Texas",1954
AAPL,Apple Inc.,Tecnología Informática,"Cupertino, California",1977
AMAT,Applied Materials,Tecnología Informática,"Santa Clara, California",1967
APTV,Aptiv,Consumo Discrecional,"Dublin, Ireland",1994
ACGL,Arch Capital Group,Finanzas,"Hamilton, Bermuda",1995
ANET,Arista Networks,Tecnología Informática,"Santa Clara, California",2004
AJG,Arthur J. Gallagher & Co.,Finanzas,"Rolling Meadows, Illinois",1927
AIZ,Assurant,Finanzas,"New York City, New York",1892
T,AT&T,Servicios de Comunicación,"Dallas, Texas",1983 (1885)
ATO,Atmos Energy,Utilidades,"Dallas, Texas",1906
ADSK,Autodesk,Tecnología Informática,"San Francisco, California",1982
AZO,AutoZone,Consumo Discrecional,"Memphis, Tennessee",1979
AVB,AvalonBay Communities,Bienes Raíces,"Arlington, Virginia",1978
AVY,Avery Dennison,Materiales,"Glendale, California",1990
BKR,Baker Hughes,Energía,"Houston, Texas",2017
BALL,Ball Corporation,Materiales,"Broomfield, Colorado",1880
BAC,Bank of America,Finanzas,"Charlotte, North Carolina",1998 (1923 / 1874)
BBWI,"Bath & Body Works, Inc.",Consumo Discrecional,"Columbus, Ohio",1963
BAX,Baxter International,Cuidado de Salud,"Deerfield, Illinois",1931
BDX,Becton Dickinson,Cuidado de Salud,"Franklin Lakes, New Jersey",1897
WRB,Berkley,Finanzas,"Greenwich, Connecticut",1967
BRK.B,Berkshire Hathaway,Finanzas,"Omaha, Nebraska",1839
BBY,Best Buy,Consumo Discrecional,"Richfield, Minnesota",1966
BIO,Bio-Rad,Cuidado de Salud,"Hercules, California",1952
TECH,Bio-Techne,Cuidado de Salud,"Minneapolis, Minnesota",1976
BIIB,Biogen,Cuidado de Salud,"Cambridge, Massachusetts",1978
BLK,BlackRock,Finanzas,"New York City, New York",1988
BK,BNY Mellon,Finanzas,"New York City, New York",1784
BA,Boeing,Industriales,"Chicago, Illinois",1916
BKNG,Booking Holdings,Consumo Discrecional,"Norwalk, Connecticut",1996
BWA,BorgWarner,Consumo Discrecional,"Auburn Hills, Michigan",1880
BXP,Boston Properties,Bienes Raíces,"Boston, Massachusetts",1970
BSX,Boston Scientific,Cuidado de Salud,"Marlborough, Massachusetts",1979
BMY,Bristol Myers Squibb,Cuidado de Salud,"New York City, New York",1989 (1887)
AVGO,Broadcom Inc.,Tecnología Informática,"San Jose, California",1961
BR,Broadridge Financial Solutions,Tecnología Informática,"Lake Success, New York",1962
BRO,Brown & Brown,Finanzas,"Daytona Beach, Florida",1939
BF-B,Brown–Forman,Productos básicos,"Louisville, Kentucky",1870
CHRW,C.H. Robinson,Industriales,"Eden Prairie, Minnesota",1905
CDNS,Cadence Design Systems,Tecnología Informática,"San Jose, California",1988
CZR,Caesars Entertainment,Consumo Discrecional,"Reno, Nevada",1973
CPT,Camden Property Trust,Bienes Raíces,"Houston, Texas",1981
CPB,Campbell Soup Company,Productos básicos,"Camden, New Jersey",1869
COF,Capital One,Finanzas,"Tysons Corner, Virginia",1994
CAH,Cardinal Health,Cuidado de Salud,"Dublin, Ohio",1971
KMX,CarMax,Consumo Discrecional,"Richmond, Virginia",1993
CCL,Carnival,Consumo Discrecional,"Miami, Florida",1972
CARR,Carrier Global,Industriales,"Palm Beach Gardens, Florida",2020 (1915)
CTLT,Catalent,Cuidado de Salud,"Somerset, New Jersey",2007
CAT,Caterpillar Inc.,Industriales,"Irving, Texas",1925
CBOE,Cboe Global Markets,Finanzas,"Chicago, Illinois",1973
CBRE,CBRE Group,Bienes Raíces,"Dallas, Texas",1906
CDW,CDW,Tecnología Informática,"Lincolnshire, Illinois",1984
CE,Celanese,Materiales,"Irving, Texas",1918
CNC,Centene Corporation,Cuidado de Salud,"St. Louis, Missouri",1984
CNP,CenterPoint Energy,Utilidades,"Houston, Texas",1882
CDAY,Ceridian,Tecnología Informática,"Minneapolis, Minnesota",1992
CF,CF Industries,Materiales,"Deerfield, Illinois",1946
CRL,Charles River Laboratories,Cuidado de Salud,"Wilmington, Massachusetts",1947
SCHW,Charles Schwab Corporation,Finanzas,"Westlake, Texas",1971
CHTR,Charter Communications,Servicios de Comunicación,"Stamford, Connecticut",1993
CVX,Chevron Corporation,Energía,"San Ramon, California",1879
CMG,Chipotle Mexican Grill,Consumo Discrecional,"Newport Beach, California",1993
CB,Chubb Limited,Finanzas,"Zurich, Switzerland",1985
